Date,Close,High,Low,Open,Volume,Returns,Rolling Mean,Rolling Volatility,Cumulative Return,Fear_Greed,Risk_Adjustment_Returns,Fear_Signal,Investor_Bias,Recommendataion,sharpe_Rato,Rolling_Sharpe,Performance,Recommendation,Strategy_Return,Cumulative_Strategy_Return,Cumulative_Market_Return,Recommendation_Shifted
2019-05-29,42.468780517578125,42.94044331585505,42.138376171721504,42.23893322191725,113924800,-0.0047689657055878,46.93915583292643,0.0190498908982032,1.0463219827469128,Fear,-0.2503408408516194,Fear,Fear,Buy,-0.2503408408516194,-0.2011138339515127,Poor,Hold,0.0,0.9646539660111537,1.0463219827469146,Hold
2019-05-30,42.68905258178711,42.91171385804956,42.29879255396897,42.60525320600927,84873600,0.0051866821115291,46.77805938720703,0.0191061483533634,1.051748922257726,Fear,0.2714666512372206,Greed,Neutral,Hold,0.2714666512372206,-0.1923375021792797,Poor,Hold,0.0,0.9646539660111537,1.0517489222577276,Hold
2019-05-31,41.91572952270508,42.61484329625762,41.89657527028308,42.19345704957382,108174400,-0.0181152546686398,46.5603391011556,0.0187848433138589,1.0326962226835597,Fear,-0.9643548453382575,Fear,Fear,Buy,-0.9643548453382575,-0.2766915980746749,Poor,Hold,0.0,0.9646539660111537,1.0326962226835614,Hold
2019-06-03,41.491943359375,42.5980747635717,40.76649306788243,42.042616150312135,161584400,-0.0101104327219336,46.32268842061361,0.0187441874890229,1.0222552170019226,Fear,-0.5393902898087496,Fear,Fear,Buy,-0.5393902898087496,-0.3046290844606577,Poor,Hold,0.0,0.9646539660111537,1.0222552170019243,Hold
2019-06-04,43.0098762512207,43.05536713031265,41.78403369307506,42.00430204941067,123872000,0.0365837984183676,46.1303092956543,0.0201881693507764,1.0596531957928457,Fear,1.8121404562598764,Greed,Neutral,Hold,1.8121404562598764,-0.2533350537192327,Poor,Hold,0.0,0.9646539660111537,1.0596531957928474,Hold
2019-06-05,43.70418930053711,44.290777452301086,43.36899920235605,44.12078583967478,119093600,0.0161431073472735,45.93762105305989,0.0202446250592002,1.076759291083411,Fear,0.7974021400775333,Greed,Neutral,Hold,0.7974021400775333,-0.2710484172120904,Poor,Hold,0.0,0.9646539660111537,1.076759291083413,Hold
2019-06-06,44.34585952758789,44.40571518469204,43.6108303047652,43.83349524890833,90105200,0.0146821217215187,45.76886596679688,0.0205254719284985,1.0925684020598738,Fear,0.7153122604276578,Greed,Neutral,Hold,0.7153122604276578,-0.242467186827247,Poor,Hold,0.0,0.9646539660111537,1.0925684020598758,Hold
2019-06-07,45.52620697021485,45.94998600483363,44.477538442467015,44.65470883240894,122737600,0.0266168579254315,45.65440190633138,0.021207827050135,1.121649139991317,Fear,1.2550488016763637,Greed,Neutral,Hold,1.2550488016763637,-0.1734663069236501,Poor,Hold,0.0,0.9646539660111537,1.1216491399913193,Hold
2019-06-10,46.10800552368164,46.77599298149099,45.87815821635535,45.92364909565006,104883600,0.0127794207377618,45.56712214152018,0.0213759311699134,1.135983166271415,Fear,0.597841592779304,Greed,Neutral,Hold,0.597841592779304,-0.1392915120316716,Poor,Hold,0.0,0.9646539660111537,1.135983166271417,Hold
2019-06-11,46.64192199707031,46.92683551148941,46.35222266042359,46.65389385923823,107731600,0.0115796913643215,45.49517504374186,0.0215053770220657,1.149137500731903,Fear,0.5384556314655679,Greed,Neutral,Hold,0.5384556314655679,-0.1259277322529153,Poor,Hold,0.0,0.9646539660111537,1.149137500731905,Hold
